title,genre
The Hobbit,Fantasy
And Then There Were None,Mystery
The Da Vinci Code,Mystery
The Catcher in the Rye,Fiction
Lolita,Fiction
Anne of Green Gables,Historical Fiction
Black Beauty,Children
Watership Down,Fantasy
Charlotte's Web,Children
The Tale of Peter Rabbit,Children
The Very Hungry Caterpillar,Children
To Kill a Mockingbird,Fiction
Cosmos,Science
The Thorn Birds,Historical Fiction
The Great Gatsby,Historical Fiction
Gone with the Wind,Historical Fiction
Rebecca,Mystery
Nineteen Eighty-Four,Science Fiction
James and the Giant Peach,Children
Who Moved My Cheese?,Spirituality
A Brief History of Time,Science
The Wind in the Willows,Children
The Celestine Prophecy,Self Help
The Godfather,Historical Fiction
Autobiography of a Yogi,Spirituality
Animal Farm,Science Fiction
Adventures of Huckleberry Finn,Historical Fiction
Pride and Prejudice,Historical Fiction
Where the Wild Things Are,Children
Matilda,Children
The Book Thief,Historical Fiction
Goodnight Moon,Children
The Outsiders,Fiction
How to Win Friends and Influence People,Self Help
The Grapes of Wrath,Historical Fiction
Interpreter of Maladies,Fiction
Tuesdays with Morrie,Memoir
The Old Man and the Sea,Fiction
The Prophet,Spirituality
The Cat in the Hat,Children
Catch-22,Historical Fiction
The Lovely Bones,Fiction
Life of Pi,Fiction
Fahrenheit 451,Science Fiction
Angela's Ashes,Memoir
